225 ;G 226-66                           ;PM*;090.7603068817271 +32.5901295843776;M1V                    ;   14.3078
226 ;* 26 Dra                           ;SB*;090.99307349 +32.64958161          ;F9V+K3V                ;   13.9569
227 ;* 26 Dra A                         ;PM*;090.9930175688368 +32.6495227808070;G0IV-V                 ;   14.4335
228 ;HD 158633                          ;PM*;097.5588489587569 +33.1704242132090;K0                     ;   12.7919
229 ;LSPM J1658+7027                    ;BD*;101.9076369363029 +34.8259216621803;L1(e)                  ;   18.4724
230 ;G 258-2                            ;PM*;106.1026020377249 +33.3913514244972;M3.5V                  ;   15.740 
231 ;EGGR 436                           ;WD*;122.4924566149125 +32.0723701974933;DA9P                   ;   16.4715
232 ;G 253-6                            ;Er*;130.1860385681463 +28.7773210097771;M5.0V                  ;   13.0915
233 ;HD 62613                           ;PM*;133.6760108434112 +29.4347774718322;G9                     ;   17.155 
234 ;G 251-19                           ;PM*;137.7954654926981 +27.0391606778674;M3.5V                  ;   16.861 
235 ;G 249-51                           ;PM*;150.9749020143839 +22.2185909184735;M4.0V                  ;   31.6031
236 ;G 192-26                           ;PM*;158.7134173583579 +18.8850226044494;M4                     ;   19.8199
237 ;G 203-63                           ;PM*;075.8279561596353 +34.7027845087084;M4V                    ;   17.9556
238 ;HD 156985                          ;PM*;079.7096383342069 +35.2344950475461;K2                     ;   18.525 
239 ;LP 138-36                          ;PM*;079.6596224347166 +35.2647217109064;M3.5V                  ;   18.540 
240 ;LSPM J1652+6304                    ;PM*;093.2864340147447 +37.2962160060440;M4.5V                  ;   15.209 
241 ;* h Dra                            ;SB*;095.6782606229 +36.4626740640      ;F8V                    ;   15.3162
242 ;LSPM J1707+6439                    ;Er*;094.7805958119472 +35.4005585398890;M9V                    ;   18.076 
243 ;G 240-23                           ;Er*;099.2004666018756 +37.2402997439239;M7V                    ;   14.3224
244 ;Ross 1057                          ;SB*;111.1313913551394 +36.9666197638843;M3.5V                  ;   13.6505
245 ;BD+81 465                          ;PM*;119.1271548244168 +35.9567316650164;M3V                    ;   17.1975
246 ;HD 128642                          ;SB*;118.2734521266945 +35.4147366313414;G5                     ;   19.7005
247 ;G 253-34                           ;PM*;130.0922716822492 +33.4589980138971;M4.5                   ;   19.8356
248 ;G 251-58                           ;PM*;134.5555604076396 +30.4055606320546;M5V                    ;   14.989 
249 ;G 250-33                           ;PM*;147.2500815621321 +26.2503095399232;M3.0V                  ;   16.355 
